"uid","city_name","offense_code","offense_type","date_single","address","longitude","latitude","location_type","location_category","fips_state","fips_county","tract","block_group","block"
2975003,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-03 16:50:00,"015XX W CHASE AVE",-87.669053,42.01386,"residence","residence",17,"031","010300",4,4010
2975964,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-04 22:31:00,"013XX E 94TH ST",-87.591581,41.724092,"street","street",17,"031","470100",2,2043
2976620,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-05 20:24:00,"013XX W 122ND ST",-87.654207,41.672173,"private vehicle","vehicle",17,"031","530400",2,2020
2976763,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-05 23:27:00,"023XX S WASHTENAW AVE",-87.692912,41.848977,"street","street",17,"031","301200",3,3006
2976851,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-06 02:13:00,"001XX W PERSHING RD",-87.629851,41.823668,"street","street",17,"031","340600",1,1028
2977678,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-07 03:50:00,"016XX N CICERO AVE",-87.746105,41.910118,"street","street",17,"031","250200",2,2011
2977679,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-07 03:50:00,"016XX N CICERO AVE",-87.746105,41.910118,"street","street",17,"031","250200",2,2011
2978662,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-08 16:45:00,"078XX S DREXEL AVE",-87.602787,41.752551,"residence","residence",17,"031","691500",3,3008
2978779,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-08 19:52:00,"092XX S ABERDEEN ST",-87.650639,41.726198,"street","street",17,"031","730202",2,2012
2979643,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-10 00:01:00,"002XX W 107TH ST",-87.629101,41.699803,"private vehicle","vehicle",17,"031","491000",5,5034
2979662,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-10 00:44:00,"056XX S ARTESIAN AVE",-87.685215,41.791148,"other open space","open space",17,"031","835100",1,1007
2980265,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-10 20:35:00,"009XX W 32ND PL",-87.650222,41.835614,"street","street",17,"031","600900",2,2011
2980854,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-11 15:45:00,"030XX W 63RD ST",-87.69993,41.77902,"street","street",17,"031","660301",1,1018
2981173,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-12 00:45:00,"085XX W BRYN MAWR AVE",-87.840163,41.981043,"residence","residence",17,"031","760801",2,2011
2981199,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-12 01:45:00,"042XX S CALUMET AVE",-87.618379,41.817686,"street","street",17,"031","835900",3,3011
2981437,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-12 12:00:00,"051XX W THOMAS ST",-87.754814,41.900428,"street","street",17,"031","251100",4,4012
2982129,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-13 05:48:00,"073XX S GREEN ST",-87.645511,41.760774,"residence","residence",17,"031","681400",3,3002
2982438,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-13 16:45:00,"076XX N ASHLAND AVE",-87.670722,42.02081,"street","street",17,"031","010100",2,2012
2982771,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-14 00:05:00,"042XX S KEDZIE AVE",-87.70429,41.81604,"street","street",17,"031","580400",1,1001
2982783,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-14 00:35:00,"044XX S HONORE ST",-87.671175,41.813552,"street","street",17,"031","610300",2,2008
2983472,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-14 22:16:00,"044XX N BROADWAY",-87.655934,41.962994,"street","street",17,"031","830700",4,4005
2983580,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-15 01:11:00,"009XX N LOREL AVE",-87.759409,41.897649,"street","street",17,"031","251200",3,3000
2984365,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-16 04:31:00,"079XX S MARYLAND AVE",-87.603941,41.750322,"street","street",17,"031","440101",4,4003
2984856,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-16 18:12:00,"014XX S MILLARD AVE",-87.716506,41.861873,"street","street",17,"031","838700",4,4000
2985043,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-16 22:44:00,"034XX W MADISON ST",-87.712162,41.880905,"street","street",17,"031","270500",1,1001
2985791,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-17 23:38:00,"041XX W CULLERTON ST",-87.728552,41.854357,"street","street",17,"031","292500",2,2003
2985818,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-18 00:24:00,"044XX N MAGNOLIA AVE",-87.660978,41.962304,"street","street",17,"031","031700",4,4002
2986192,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-18 15:02:00,"079XX S LANGLEY AVE",-87.607648,41.750768,"street","street",17,"031","440201",1,1012
2986499,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-18 22:33:00,"066XX S CHAMPLAIN AVE",-87.609438,41.77409,"street","street",17,"031","420700",2,2009
2986512,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-18 22:46:00,"079XX S STATE ST",-87.624512,41.749798,"residence","residence",17,"031","842400",1,1000
2987626,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-20 12:02:00,"084XX S COLFAX AVE",-87.561226,41.742255,"residence","residence",17,"031","460400",3,3003
2988048,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-20 23:15:00,"042XX W DIVISION ST",-87.732468,41.902572,"street","street",17,"031","842100",4,4008
